"ID","IATA_CODE","AIRLINE"
10001,"UA","United Air Lines Inc."
10002,"AA","American Airlines Inc."
10003,"US","US Airways Inc."
10004,"F9","Frontier Airlines Inc."
10005,"B6","JetBlue Airways"
10006,"OO","Skywest Airlines Inc."
10007,"AS","Alaska Airlines Inc."
10008,"NK","Spirit Air Lines"
10009,"WN","Southwest Airlines Co."
10010,"DL","Delta Air Lines Inc."
10011,"EV","Atlantic Southeast Airlines"
10012,"HA","Hawaiian Airlines Inc."
10013,"MQ","American Eagle Airlines Inc."
10014,"VX","Virgin America"
