"ID","Description","IATA_CODE","FIVE_CODE"
1,"47-Mile Mine, AK: 47-Mile Mine Airport","UXM",15527
2,"A Coruna, Spain: A Coruna Airport","LCG",12914
3,"Aachen, Germany: Aachen/Merzbruck","AAH",10123
4,"Aalborg, Denmark: Aalborg Airport","AAL",10125
5,"Aalesund, Norway: Vigra","AES",10183
6,"Aarhus, Denmark: Aarhus Airport","AAR",10130
7,"Abadan, Iran: Abadan Airport","ABD",10134
8,"Abakan, Russia: Abakan Airport","ABA",16387
9,"Abbotsford, Canada: Abbotsford Airport","YXX",16253
10,"Abeche, Chad: Abeche Airport","AEH",10178
11,"Aberdeen, ID: Aberdeen Municipal","U36",16431
12,"Aberdeen, MD: Phillips AAF","APG",10330
13,"Aberdeen, SD: Aberdeen Regional","ABR",10141
14,"Aberdeen, United Kingdom: Aberdeen Dyce","ABZ",10147
15,"Abha, Saudi Arabia: Abha Airport","AHB",10214
16,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International","ABJ",10137
17,"Abilene, KS: Abilene Airport","QBX",14366
18,"Abilene, TX: Abilene Regional","ABI",10136
19,"Abilene, TX: Dyess AFB","DYS",11459
20,"Abu Dhabi, United Arab Emirates: Abu Dhabi International","AUH",10415
21,"Abu Dhabi, United Arab Emirates: Al Bateen Executive","AZI",16531
22,"Abu Simbel, Egypt: Abu Simbel Airport","ABS",10142
23,"Abuja, Nigeria: Abuja Nnamdi Azikiwe International","ABV",10144
24,"Acapulco, Mexico: General Juan N Alvarez International","ACA",10148
25,"Acarigua, Venezuela: Oswaldo Guevara Mujica","AGV",10211
26,"Accra, Ghana: Accra Kotoka International","ACC",10150
27,"Achutupo, Panama: Achutupo Airport","ACU",10156
28,"Ad-Dabbah, Sudan: Ad-Dabbah Airport","AAD",16385
29,"Ada, OK: Ada Municipal","ADT",16426
30,"Adak Island, AK: Adak","ADK",10165
31,"Adana, Turkey: Adana International","ADA",10159
32,"Adana, Turkey: Incirlik AB","UAB",15419
33,"Addis Ababa, Ethiopia: Bole International","ADD",10162
34,"Adelaide, Australia: Adelaide International","ADL",10166
35,"Aden, Yemen: Aden International","ADE",10163
