Date,MaxTemp,MinTemp,AverageTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
1/1/15,58,32,45.0,2.0,20,0,0.07,0.0,0
1/2/15,49,43,46.0,3.1,19,0,0.95,0.0,0
1/3/15,62,48,55.0,12.1,10,0,0.16,0.0,0
1/4/15,66,44,55.0,12.1,10,0,1.64,0.0,0
1/5/15,48,34,41.0,-1.9,24,0,0.00,0.0,0
1/6/15,54,30,42.0,-0.9,23,0,0.00,0.0,0
1/7/15,41,16,28.5,-14.3,36,0,0.00,0.0,0
1/8/15,33,11,22.0,-20.8,43,0,0.00,0.0,0
1/9/15,41,22,31.5,-11.4,33,0,0.00,0.0,0
1/10/15,47,21,34.0,-8.9,31,0,0.00,0.0,0
1/11/15,45,29,37.0,-5.9,28,0,0.08,0.0,0
1/12/15,48,38,43.0,0.1,22,0,0.02,0.0,0
1/13/15,49,41,45.0,2.1,20,0,0.07,0.0,0
1/14/15,44,36,40.0,-3.0,25,0,T,0.0,0
1/15/15,39,33,36.0,-7.0,29,0,0.23,0.0,0
1/16/15,53,32,42.5,-0.6,22,0,0.00,0.0,0
1/17/15,60,30,45.0,1.9,20,0,0.00,0.0,0
1/18/15,60,39,49.5,6.3,15,0,0.00,0.0,0
1/19/15,66,36,51.0,7.7,14,0,0.00,0.0,0
1/20/15,67,45,56.0,12.7,9,0,0.00,0.0,0
1/21/15,64,42,53.0,9.6,12,0,0.00,0.0,0
1/22/15,56,40,48.0,4.5,17,0,0.06,0.0,0
1/23/15,46,41,43.5,-0.1,21,0,1.03,0.0,0
1/24/15,49,37,43.0,-0.7,22,0,0.01,0.0,0
1/25/15,60,31,45.5,1.7,19,0,0.03,0.0,0
1/26/15,46,33,39.5,-4.4,25,0,0.01,0.0,0
1/27/15,50,31,40.5,-3.5,24,0,0.00,0.0,0
1/28/15,55,32,43.5,-0.6,21,0,0.00,0.0,0
1/29/15,60,36,48.0,3.8,17,0,T,0.0,0
1/30/15,56,35,45.5,1.2,19,0,0.00,0.0,0
1/31/15,56,29,42.5,-2.0,22,0,0.00,0.0,0
2/1/15,57,40,48.5,3.9,16,0,0.61,0.0,0
2/2/15,57,28,42.5,-2.2,22,0,0.32,0.0,0
2/3/15,51,25,38.0,-6.9,27,0,0.00,0.0,0
2/4/15,50,35,42.5,-2.5,22,0,0.00,0.0,0
2/5/15,51,31,41.0,-4.2,24,0,0.00,0.0,0
2/6/15,53,26,39.5,-5.9,25,0,0.00,0.0,0
2/7/15,64,33,48.5,3.0,16,0,0.00,0.0,0
2/8/15,68,40,54.0,8.3,11,0,0.00,0.0,0
2/9/15,64,44,54.0,8.1,11,0,0.34,0.0,0
2/10/15,54,38,46.0,-0.1,19,0,0.00,0.0,0
2/11/15,64,32,48.0,1.7,17,0,0.00,0.0,0
