"Date","MaxTemp","MinTemp","Precipitation"
"1/1/15",58,32,"0.07"
"1/2/15",49,43,"0.95"
"1/3/15",62,48,"0.16"
"1/4/15",66,44,"1.64"
"1/5/15",48,34,"0.00"
"1/6/15",54,30,"0.00"
"1/7/15",41,16,"0.00"
"1/8/15",33,11,"0.00"
"1/9/15",41,22,"0.00"
"1/10/15",47,21,"0.00"
"1/11/15",45,29,"0.08"
"1/12/15",48,38,"0.02"
"1/13/15",49,41,"0.07"
"1/14/15",44,36,"T"
"1/15/15",39,33,"0.23"
"1/16/15",53,32,"0.00"
"1/17/15",60,30,"0.00"
"1/18/15",60,39,"0.00"
"1/19/15",66,36,"0.00"
"1/20/15",67,45,"0.00"
"1/21/15",64,42,"0.00"
"1/22/15",56,40,"0.06"
"1/23/15",46,41,"1.03"
"1/24/15",49,37,"0.01"
"1/25/15",60,31,"0.03"
"1/26/15",46,33,"0.01"
"1/27/15",50,31,"0.00"
"1/28/15",55,32,"0.00"
"1/29/15",60,36,"T"
"1/30/15",56,35,"0.00"
"1/31/15",56,29,"0.00"
"2/1/15",57,40,"0.61"
"2/2/15",57,28,"0.32"
"2/3/15",51,25,"0.00"
"2/4/15",50,35,"0.00"
"2/5/15",51,31,"0.00"
"2/6/15",53,26,"0.00"
"2/7/15",64,33,"0.00"
"2/8/15",68,40,"0.00"
"2/9/15",64,44,"0.34"
"2/10/15",54,38,"0.00"
"2/11/15",64,32,"0.00"
"2/12/15",50,28,"0.00"
"2/13/15",45,25,"0.00"
"2/14/15",60,29,"0.00"
"2/15/15",48,22,"0.00"
"2/16/15",41,33,"1.23"
"2/17/15",38,28,"0.02"
"2/18/15",39,22,"T"
"2/19/15",28,15,"0.00"
"2/20/15",35,16,"T"
"2/21/15",56,34,"0.11"
"2/22/15",56,44,"0.40"
"2/23/15",49,36,"0.32"
"2/24/15",37,32,"0.11"
"2/25/15",38,32,"0.69"
"2/26/15",43,33,"T"
"2/27/15",48,29,"0.00"
"2/28/15",56,31,"T"
"3/1/15",46,36,"0.13"
"3/2/15",63,45,"0.05"
"3/3/15",54,50,"0.30"
"3/4/15",78,50,"0.01"
"3/5/15",67,29,"0.16"
"3/6/15",50,27,"T"
"3/7/15",63,30,"0.00"
"3/8/15",71,37,"0.00"
"3/9/15",66,54,"T"
"3/10/15",79,57,"T"
"3/11/15",72,58,"0.03"
"3/12/15",68,58,"0.06"
"3/13/15",58,46,"0.15"
"3/14/15",70,47,"0.06"
"3/15/15",77,56,"0.00"
"3/16/15",83,48,"0.00"
"3/17/15",80,59,"0.00"
"3/18/15",73,56,"0.00"
"3/19/15",65,48,"0.45"
"3/20/15",69,48,"0.01"
"3/21/15",72,54,"0.01"
"3/22/15",58,54,"1.00"
"3/23/15",68,53,"T"
"3/24/15",72,48,"0.00"
"3/25/15",73,58,"0.01"
"3/26/15",74,62,"T"
"3/27/15",64,43,"0.03"
"3/28/15",53,36,"0.00"
"3/29/15",62,31,"0.00"
"3/30/15",71,50,"0.48"
"3/31/15",76,47,"0.04"
"4/1/15",79,56,"0.61"
"4/2/15",76,59,"0.07"
"4/3/15",83,57,"0.00"
"4/4/15",72,52,"0.34"
"4/5/15",68,45,"0.00"
"4/6/15",71,54,"0.61"
"4/7/15",81,63,"0.00"
"4/8/15",87,63,"0.00"
"4/9/15",85,65,"0.00"
"4/10/15",77,65,"1.52"
"4/11/15",78,55,"0.00"
"4/12/15",70,56,"0.02"
"4/13/15",75,64,"0.19"
"4/14/15",81,66,"0.36"
"4/15/15",77,56,"0.50"
"4/16/15",58,53,"0.28"
"4/17/15",63,55,"0.74"
"4/18/15",73,63,"0.25"
"4/19/15",71,66,"0.52"
"4/20/15",77,59,"0.00"
"4/21/15",71,49,"0.00"
"4/22/15",79,51,"0.00"
"4/23/15",69,55,"T"
"4/24/15",76,48,"T"
"4/25/15",79,59,"0.92"
"4/26/15",83,57,"0.00"
"4/27/15",71,51,"0.00"
"4/28/15",73,53,"0.02"
"4/29/15",64,54,"0.84"
"4/30/15",74,52,"0.00"
"5/1/15",70,48,"0.00"
"5/2/15",77,52,"0.00"
"5/3/15",79,55,"0.00"
"5/4/15",81,59,"0.00"
"5/5/15",81,59,"0.00"
"5/6/15",82,60,"0.00"
"5/7/15",84,61,"0.00"
"5/8/15",87,63,"0.00"
"5/9/15",85,69,"0.00"
"5/10/15",89,68,"0.00"
"5/11/15",89,69,"0.00"
"5/12/15",84,70,"T"
"5/13/15",85,62,"0.00"
"5/14/15",84,63,"0.00"
"5/15/15",80,68,"T"
"5/16/15",85,67,"0.00"
"5/17/15",85,68,"0.40"
"5/18/15",83,69,"1.19"
"5/19/15",85,69,"T"
"5/20/15",87,68,"0.00"
"5/21/15",80,58,"0.00"
"5/22/15",78,51,"0.00"
"5/23/15",81,60,"0.00"
"5/24/15",83,62,"0.00"
"5/25/15",81,66,"0.55"
"5/26/15",84,66,"1.08"
"5/27/15",83,66,"0.44"
"5/28/15",81,67,"0.59"
"5/29/15",84,67,"0.00"
"5/30/15",85,67,"0.00"
"5/31/15",84,68,"0.19"
"6/1/15",80,68,"0.03"
"6/2/15",84,65,"0.12"
"6/3/15",80,66,"0.06"
"6/4/15",79,64,"0.00"
"6/5/15",86,66,"0.00"
"6/6/15",89,69,"0.00"
"6/7/15",89,72,"0.00"
"6/8/15",88,72,"0.00"
"6/9/15",88,69,"1.12"
"6/10/15",85,67,"1.04"
"6/11/15",86,71,"0.91"
"6/12/15",85,69,"0.09"
"6/13/15",89,69,"0.00"
"6/14/15",92,72,"0.00"
"6/15/15",94,75,"0.00"
"6/16/15",94,75,"0.00"
"6/17/15",94,77,"0.00"
"6/18/15",95,73,"0.20"
