"MaxTemp","MinTemp","Precipitation","DAY","MONTH"
58,32,"0.07",1,1
49,43,"0.95",2,1
62,48,"0.16",3,1
66,44,"1.64",4,1
48,34,"0.00",5,1
54,30,"0.00",6,1
41,16,"0.00",7,1
33,11,"0.00",8,1
41,22,"0.00",9,1
47,21,"0.00",10,1
45,29,"0.08",11,1
48,38,"0.02",12,1
49,41,"0.07",13,1
44,36,"T",14,1
39,33,"0.23",15,1
53,32,"0.00",16,1
60,30,"0.00",17,1
60,39,"0.00",18,1
66,36,"0.00",19,1
67,45,"0.00",20,1
64,42,"0.00",21,1
56,40,"0.06",22,1
46,41,"1.03",23,1
49,37,"0.01",24,1
60,31,"0.03",25,1
46,33,"0.01",26,1
50,31,"0.00",27,1
55,32,"0.00",28,1
60,36,"T",29,1
56,35,"0.00",30,1
56,29,"0.00",31,1
57,40,"0.61",1,2
57,28,"0.32",2,2
51,25,"0.00",3,2
50,35,"0.00",4,2
51,31,"0.00",5,2
53,26,"0.00",6,2
64,33,"0.00",7,2
68,40,"0.00",8,2
64,44,"0.34",9,2
54,38,"0.00",10,2
64,32,"0.00",11,2
50,28,"0.00",12,2
45,25,"0.00",13,2
60,29,"0.00",14,2
48,22,"0.00",15,2
41,33,"1.23",16,2
38,28,"0.02",17,2
39,22,"T",18,2
28,15,"0.00",19,2
35,16,"T",20,2
56,34,"0.11",21,2
56,44,"0.40",22,2
49,36,"0.32",23,2
37,32,"0.11",24,2
38,32,"0.69",25,2
43,33,"T",26,2
48,29,"0.00",27,2
56,31,"T",28,2
46,36,"0.13",1,3
63,45,"0.05",2,3
54,50,"0.30",3,3
78,50,"0.01",4,3
67,29,"0.16",5,3
50,27,"T",6,3
63,30,"0.00",7,3
71,37,"0.00",8,3
66,54,"T",9,3
79,57,"T",10,3
72,58,"0.03",11,3
68,58,"0.06",12,3
58,46,"0.15",13,3
70,47,"0.06",14,3
77,56,"0.00",15,3
83,48,"0.00",16,3
80,59,"0.00",17,3
73,56,"0.00",18,3
65,48,"0.45",19,3
69,48,"0.01",20,3
72,54,"0.01",21,3
58,54,"1.00",22,3
68,53,"T",23,3
72,48,"0.00",24,3
73,58,"0.01",25,3
74,62,"T",26,3
64,43,"0.03",27,3
53,36,"0.00",28,3
62,31,"0.00",29,3
71,50,"0.48",30,3
76,47,"0.04",31,3
79,56,"0.61",1,4
76,59,"0.07",2,4
83,57,"0.00",3,4
72,52,"0.34",4,4
68,45,"0.00",5,4
71,54,"0.61",6,4
81,63,"0.00",7,4
87,63,"0.00",8,4
85,65,"0.00",9,4
77,65,"1.52",10,4
78,55,"0.00",11,4
70,56,"0.02",12,4
75,64,"0.19",13,4
81,66,"0.36",14,4
77,56,"0.50",15,4
58,53,"0.28",16,4
63,55,"0.74",17,4
73,63,"0.25",18,4
71,66,"0.52",19,4
77,59,"0.00",20,4
71,49,"0.00",21,4
79,51,"0.00",22,4
69,55,"T",23,4
76,48,"T",24,4
79,59,"0.92",25,4
83,57,"0.00",26,4
71,51,"0.00",27,4
73,53,"0.02",28,4
64,54,"0.84",29,4
74,52,"0.00",30,4
70,48,"0.00",1,5
77,52,"0.00",2,5
79,55,"0.00",3,5
81,59,"0.00",4,5
81,59,"0.00",5,5
82,60,"0.00",6,5
84,61,"0.00",7,5
87,63,"0.00",8,5
85,69,"0.00",9,5
89,68,"0.00",10,5
89,69,"0.00",11,5
84,70,"T",12,5
85,62,"0.00",13,5
84,63,"0.00",14,5
80,68,"T",15,5
85,67,"0.00",16,5
85,68,"0.40",17,5
83,69,"1.19",18,5
85,69,"T",19,5
87,68,"0.00",20,5
80,58,"0.00",21,5
78,51,"0.00",22,5
81,60,"0.00",23,5
83,62,"0.00",24,5
81,66,"0.55",25,5
84,66,"1.08",26,5
83,66,"0.44",27,5
81,67,"0.59",28,5
84,67,"0.00",29,5
85,67,"0.00",30,5
84,68,"0.19",31,5
80,68,"0.03",1,6
84,65,"0.12",2,6
80,66,"0.06",3,6
79,64,"0.00",4,6
86,66,"0.00",5,6
89,69,"0.00",6,6
89,72,"0.00",7,6
88,72,"0.00",8,6
88,69,"1.12",9,6
85,67,"1.04",10,6
86,71,"0.91",11,6
85,69,"0.09",12,6
89,69,"0.00",13,6
92,72,"0.00",14,6
94,75,"0.00",15,6
94,75,"0.00",16,6
94,77,"0.00",17,6
95,73,"0.20",18,6
91,73,"0.00",19,6
89,75,"0.34",20,6
93,72,"0.00",21,6
94,75,"0.00",22,6
94,77,"0.00",23,6
93,72,"1.56",24,6
93,70,"0.00",25,6
90,74,"T",26,6
85,72,"1.37",27,6
83,66,"0.00",28,6
86,65,"0.00",29,6
86,72,"0.07",30,6
85,69,"0.61",1,7
87,68,"0.15",2,7
79,70,"0.42",3,7
85,68,"1.54",4,7
84,69,"T",5,7
84,71,"0.05",6,7
90,71,"0.00",7,7
90,74,"0.00",8,7
91,73,"0.00",9,7
93,74,"0.00",10,7
92,73,"0.00",11,7
93,72,"T",12,7
92,71,"0.01",13,7
90,69,"0.92",14,7
89,69,"0.08",15,7
88,73,"0.00",16,7
93,76,"0.00",17,7
92,76,"0.02",18,7
91,74,"T",19,7
93,74,"T",20,7
93,75,"0.09",21,7
92,71,"0.71",22,7
88,73,"0.27",23,7
91,74,"0.00",24,7
90,75,"0.00",25,7
91,74,"0.00",26,7
92,76,"T",27,7
94,76,"0.00",28,7
93,75,"0.03",29,7
94,76,"0.01",30,7
93,72,"0.10",31,7
89,73,"0.00",1,8
94,70,"0.00",2,8
94,73,"T",3,8
97,74,"0.00",4,8
95,74,"0.00",5,8
88,73,"0.12",6,8
88,73,"T",7,8
92,70,"0.00",8,8
93,73,"T",9,8
94,75,"0.05",10,8
91,72,"0.01",11,8
90,71,"0.00",12,8
89,71,"T",13,8
90,72,"0.00",14,8
90,71,"0.00",15,8
90,71,"T",16,8
89,71,"1.26",17,8
88,72,"0.72",18,8
89,73,"1.25",19,8
88,73,"0.27",20,8
89,73,"T",21,8
92,74,"0.00",22,8
87,70,"1.42",23,8
89,72,"0.00",24,8
84,64,"0.00",25,8
86,60,"0.00",26,8
85,67,"0.00",27,8
83,70,"0.00",28,8
81,72,"T",29,8
74,67,"0.64",30,8
84,67,"0.03",31,8
87,69,"0.00",1,9
