"MONTH","DAY","DAY_OF_WEEK","AIRLINE","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","SCHEDULED_TIME","DISTANCE","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","MAXTEMP","MINTEMP","PRECIPITATION","ID"
"1","1","4","DL","TPA","ATL",630,88,406,758,743,"0",58,32,0.07,51
"1","1","4","WN","TPA","ATL",740,90,406,910,927,"1",58,32,0.07,116
"1","1","4","DL","TPA","ATL",830,100,406,1010,952,"0",58,32,0.07,183
"1","1","4","DL","ATL","TPA",840,85,406,1005,1021,"1",58,32,0.07,191
"1","1","4","DL","ATL","TPA",935,88,406,1103,1114,"1",58,32,0.07,266
"1","1","4","DL","TPA","ATL",945,92,406,1117,1108,"0",58,32,0.07,278
"1","1","4","WN","ATL","TPA",950,90,406,1120,1114,"0",58,32,0.07,283
"1","1","4","WN","TPA","ATL",1030,85,406,1155,1155,"0",58,32,0.07,350
"1","1","4","DL","ATL","TPA",1139,86,406,1305,1255,"0",58,32,0.07,467
"1","1","4","DL","TPA","ATL",1145,92,406,1317,1330,"1",58,32,0.07,478
"1","1","4","DL","ATL","TPA",1240,85,406,1405,1355,"0",58,32,0.07,592
"1","1","4","WN","TPA","ATL",1300,90,406,1430,1427,"0",58,32,0.07,623
"1","1","4","DL","TPA","ATL",1345,90,406,1515,1509,"0",58,32,0.07,697
"1","1","4","WN","ATL","TPA",1435,85,406,1600,1602,"1",58,32,0.07,778
"1","1","4","DL","ATL","TPA",1435,85,406,1600,1542,"0",58,32,0.07,780
"1","1","4","DL","TPA","ATL",1445,94,406,1619,1604,"0",58,32,0.07,791
"1","1","4","DL","ATL","TPA",1535,88,406,1703,1651,"0",58,32,0.07,894
"1","1","4","DL","TPA","ATL",1545,94,406,1719,1712,"0",58,32,0.07,906
"1","1","4","WN","TPA","ATL",1555,90,406,1725,1724,"0",58,32,0.07,920
"1","1","4","DL","ATL","TPA",1635,88,406,1803,1801,"0",58,32,0.07,1001
"1","1","4","DL","TPA","ATL",1645,95,406,1820,1808,"0",58,32,0.07,1026
"1","1","4","WN","ATL","TPA",1725,85,406,1850,1856,"1",58,32,0.07,1082
"1","1","4","WN","TPA","ATL",1745,95,406,1920,1936,"1",58,32,0.07,1115
"1","1","4","DL","TPA","ATL",1745,97,406,1922,1901,"0",58,32,0.07,1119
"1","1","4","DL","ATL","TPA",1805,85,406,1930,2013,"1",58,32,0.07,1156
"1","1","4","DL","TPA","ATL",1859,99,406,2038,2022,"0",58,32,0.07,1209
"1","1","4","WN","TPA","ATL",1910,95,406,2045,2043,"0",58,32,0.07,1233
"1","1","4","DL","ATL","TPA",1920,85,406,2045,2033,"0",58,32,0.07,1252
"1","1","4","WN","ATL","TPA",1950,85,406,2115,2128,"1",58,32,0.07,1292
"1","1","4","DL","ATL","TPA",2041,83,406,2204,2152,"0",58,32,0.07,1344
"1","1","4","WN","ATL","TPA",2145,90,406,2315,2338,"1",58,32,0.07,1412
"1","10","6","DL","TPA","ATL",620,90,406,750,735,"0",47,21,0,1533
"1","10","6","WN","TPA","ATL",635,90,406,805,757,"0",47,21,0,1561
"1","10","6","DL","TPA","ATL",730,99,406,909,907,"0",47,21,0,1657
"1","10","6","WN","TPA","ATL",830,95,406,1005,1000,"0",47,21,0,1738
"1","10","6","DL","TPA","ATL",830,103,406,1013,1001,"0",47,21,0,1745
"1","10","6","DL","ATL","TPA",831,82,406,953,953,"0",47,21,0,1751
"1","10","6","WN","ATL","TPA",850,90,406,1020,1005,"0",47,21,0,1781
